Open,High,Low,Close,Adj Close,Volume,Month
12.45,13.7,12.12,12.9,12.9,290800,12
12.9,13.2,12.11,12.5,12.5,157600,12
12.5,12.643,11.0,11.07,11.07,221400,12
11.19,11.19,9.04,9.52,9.52,403800,12
9.44,9.49,7.84,9.4,9.4,325100,12
9.5,10.09,8.88,10.0,10.0,94800,12
10.05,10.64,9.5,10.18,10.18,70000,12
10.0,10.53,9.85,10.53,10.53,30000,12
10.46,11.0,10.32,10.61,10.61,46200,12
10.77,10.77,10.0,10.63,10.63,45900,12
10.74,10.8,10.15,10.64,10.64,47200,12
10.52,10.88,10.471,10.75,10.75,73200,12
10.81,13.98,10.81,12.7,12.7,229000,1
12.96,13.0,12.422,12.8,12.8,59000,1
13.9,13.9,12.75,13.54,13.54,184600,1
13.98,13.99,12.9,13.55,13.55,56700,1
13.7,14.068,13.36,13.6,13.6,100300,1
14.08,14.08,13.04,13.45,13.45,38800,1
13.65,13.65,13.12,13.32,13.32,35200,1
13.4,14.31,13.15,13.64,13.64,91600,1
13.53,13.61,13.2,13.42,13.42,52900,1
13.72,14.57,13.41,13.75,13.75,67800,1
14.02,14.02,12.231,13.29,13.29,31300,1
13.19,13.256,12.81,13.21,13.21,25800,1
13.25,13.25,12.811,13.05,13.05,22300,1
13.05,13.1,12.53,13.1,13.1,14400,1
13.3,13.3,12.652,12.8,12.8,10600,1
12.72,12.79,12.44,12.55,12.55,10600,1
11.81,12.452,11.51,11.81,11.81,37600,1
11.8,12.41,11.76,12.27,12.27,10800,1
12.12,12.681,11.54,11.94,11.94,13300,1
11.84,11.841,11.1,11.4,11.4,9500,1
11.3,11.821,10.5,10.86,10.86,19800,1
10.8,11.87,10.8,11.34,11.34,11500,2
11.35,12.6,11.35,12.43,12.43,19800,2
12.6,12.6,11.685,12.44,12.44,6200,2
11.88,12.3,11.528,12.3,12.3,3900,2
12.3,12.3,11.51,12.26,12.26,5700,2
11.76,12.3,11.71,12.3,12.3,12600,2
12.3,12.6,12.11,12.4,12.4,29000,2
12.13,12.6,12.12,12.6,12.6,24700,2
12.25,12.43,12.16,12.4,12.4,2600,2
12.13,12.3,12.0,12.0,12.0,4400,2
12.0,12.317,11.86,12.03,12.03,6700,2
12.17,12.6,12.17,12.6,12.6,57800,2
12.59,12.59,12.0,12.095,12.095,15100,2
12.25,12.513,11.88,12.025,12.025,13400,2
12.0,12.0,10.8,11.087,11.087,30400,2
12.29,12.29,11.3,11.41,11.41,13800,2
11.53,11.9,11.0,11.07,11.07,15800,2
11.09,11.88,11.04,11.11,11.11,82900,2
11.39,11.7,10.8,11.05,11.05,18500,2
11.99,11.99,11.06,11.06,11.06,10200,3
11.46,11.6,11.1,11.2,11.2,36800,3
11.67,11.799,11.0,11.12,11.12,21000,3
11.0,11.343,11.0,11.25,11.25,3700,3
11.2,11.536,11.1,11.1,11.1,8800,3
11.1,11.16,10.13,10.25,10.25,18200,3
10.71,11.88,10.663,11.0,11.0,15800,3
11.3,11.3,10.26,10.33,10.33,16500,3
10.01,10.95,10.0,10.84,10.84,20500,3
11.4,11.4,9.62,10.05,10.05,9400,3
10.0,10.13,9.7,9.95,9.95,22800,3
9.95,10.81,9.7,10.1,10.1,18600,3
10.1,10.68,10.05,10.15,10.15,6300,3
10.2,10.3,10.15,10.25,10.25,9600,3
10.3,10.795,10.16,10.16,10.16,23900,3
10.17,10.69,10.15,10.2,10.2,6700,3
11.24,11.24,10.2,10.42,10.42,22800,3
10.98,10.98,10.15,10.36,10.36,9700,3
10.35,11.21,10.27,11.21,11.21,22500,3
11.0,11.0,10.26,10.47,10.47,14500,3
11.04,11.04,10.21,10.21,10.21,9900,3
10.99,10.99,10.265,10.74,10.74,4500,3
10.34,10.671,10.25,10.28,10.28,7400,4
11.18,12.4,11.15,11.8,11.8,115300,4
12.37,12.37,11.405,11.68,11.68,63800,4
12.0,12.05,11.5,11.981,11.981,35800,4
12.1,12.2,11.51,11.94,11.94,68100,4
12.05,12.05,11.9,12.05,12.05,48100,4
12.24,12.25,11.68,12.0,12.0,63400,4
12.05,12.07,11.77,11.934,11.934,69900,4
12.1,12.265,11.93,12.1,12.1,54200,4
12.05,12.05,11.925,11.97,11.97,32500,4
12.05,13.83,11.94,13.33,13.33,226200,4
13.5,13.93,12.5,12.99,12.99,99800,4
13.41,13.49,12.25,12.421,12.421,90300,4
12.5,12.98,12.35,12.76,12.76,46600,4
12.82,12.84,12.28,12.4,12.4,26600,4
12.6,12.98,12.2,12.32,12.32,36500,4
12.39,12.95,12.39,12.8,12.8,62200,4
12.95,12.95,12.5,12.73,12.73,52000,4
12.9,16.24,12.9,13.6,13.6,422000,4
13.4,13.795,12.732,13.11,13.11,88300,4
13.11,13.11,11.12,11.77,11.77,111500,4
11.7,11.7,11.0,11.0,11.0,25300,5
11.59,11.59,11.0,11.5,11.5,25100,5
11.96,12.49,11.5,12.02,12.02,20300,5
12.39,12.39,11.58,11.73,11.73,9200,5
11.97,12.23,11.695,11.91,11.91,10500,5
12.03,12.25,11.8,11.91,11.91,13800,5
12.21,12.25,11.8,11.96,11.96,14800,5
12.15,12.2,11.8,11.8,11.8,16600,5
12.05,12.05,11.31,11.69,11.69,22200,5
11.65,11.956,11.31,11.49,11.49,12600,5
12.2,12.2,11.37,11.37,11.37,9400,5
12.5,12.785,11.51,11.95,11.95,26300,5
12.7,12.7,11.53,12.01,12.01,12900,5
11.93,12.38,11.525,11.535,11.535,15600,5
11.95,11.95,11.53,11.9,11.9,13500,5
11.9,11.9,11.57,11.65,11.65,10500,5
12.48,12.48,11.7,11.71,11.71,12300,5
12.79,12.79,11.72,11.74,11.74,19900,5
12.34,12.34,11.925,12.11,12.11,37500,5
12.35,12.35,11.75,12.12,12.12,23300,5
11.9,12.14,11.75,11.88,11.88,18800,6
12.1,12.1,11.707,11.75,11.75,15800,6
11.98,11.98,11.734,11.77,11.77,11800,6
11.6,11.8,11.52,11.67,11.67,12200,6
11.76,11.8,11.63,11.79,11.79,11800,6
11.95,13.43,11.67,13.38,13.38,52700,6
13.47,13.6,12.5,12.67,12.67,71500,6
13.35,13.4,12.4,12.4,12.4,147800,6
13.28,13.28,12.5,12.5,12.5,43100,6
12.6,12.788,12.0,12.0,12.0,33300,6
13.04,13.04,12.51,12.85,12.85,42600,6
13.1,13.1,12.401,12.5,12.5,60800,6
12.5,12.5,11.93,12.28,12.28,42900,6
12.47,12.54,11.75,12.0,12.0,27000,6
12.04,12.5,11.8,11.8,11.8,41500,6
11.5,11.78,11.2,11.44,11.44,70100,6
11.47,11.842,11.356,11.449,11.449,25600,6
11.42,11.671,11.39,11.51,11.51,28200,6
11.58,11.58,11.2,11.32,11.32,19700,6
11.34,11.419,11.03,11.15,11.15,21200,6
11.03,11.15,10.51,10.86,10.86,41900,6
10.5,11.03,10.35,10.484,10.484,84400,6
10.97,10.97,10.49,10.76,10.76,56800,7
10.76,11.099,10.39,10.39,10.39,52200,7
10.8,12.0,10.8,12.0,12.0,129700,7
11.99,12.32,11.61,12.14,12.14,173400,7
12.0,12.0,11.51,11.71,11.71,30600,7
11.91,11.92,11.29,11.36,11.36,47800,7
11.39,12.0,11.31,11.79,11.79,72300,7
12.16,12.26,10.76,10.94,10.94,73100,7
